Sr. No.,TYPE,Nutrient/chemicals to avoid,0-6 years,7-12 years,13-18 years,Adults,Strictly Avoid?
1,Type 1 diabetes,Carbohydrates,≤ 15-30g,≤ 30-45g,≤ 45-60g,≤ 45-60g,"No, but limit refined carbs"
,Type 1 diabetes,Sugar,≤ 5g,≤ 8g,≤ 10g,≤ 10-15g,Yes (Minimize added sugar)
,Type 1 diabetes,Saturated Fat,≤ 2g,≤ 3g,≤ 4g,≤ 5g,Limit processed fats
,Type 1 diabetes,Trans Fat,0g (Avoid),0g (Avoid),0g (Avoid),0g (Avoid),Yes (Fully avoid)
,Type 1 diabetes,Sodium (Salt),≤ 300mg,≤ 400mg,≤ 500mg,≤ 600mg,Limit high-sodium processed foods
,Type 1 diabetes,Cholesterol,≤ 30mg,≤ 50mg,≤ 70mg,≤ 100mg,Limit excessive intake
,Type 1 diabetes,Fiber,≥ 2g,≥ 3g,≥ 4g,≥ 5g,No (Higher intake is better)
,Type 1 diabetes,Protein,≥ 3g,≥ 5g,≥ 7g,≥ 8g,No (Healthy protein recommended)
,Type 1 diabetes,Glycemic Index,Prefer <55,Prefer <55,Prefer <55,Prefer <55,Avoid high GI foods (>70)
,Type 1 diabetes,"Artificial Sweeteners (Aspartame, Saccharin, Sucralose, Acesulfame K)",Avoid,Avoid,Limit,Limit,Yes (Linked to insulin resistance)
,,,,,,,
2,Type 2 diabetes,Carbohydrates,≤ 10-20g,≤ 20-40g,≤ 40-50g,≤ 30-45g,"No, but limit refined carbs"
,Type 2 diabetes,Sugar,≤ 3g,≤ 5g,≤ 8g,≤ 10g,"Yes, minimize added sugar"
,Type 2 diabetes,Saturated Fat,≤ 2g,≤ 3g,≤ 4g,≤ 5g,Limit processed fats
,Type 2 diabetes,Trans Fat,0g (Avoid),0g (Avoid),0g (Avoid),0g (Avoid),"Yes, fully avoid"
,Type 2 diabetes,Sodium (Salt),≤ 250mg,≤ 350mg,≤ 450mg,≤ 500mg,Limit high-sodium processed foods
,Type 2 diabetes,Cholesterol,≤ 20mg,≤ 40mg,≤ 60mg,≤ 100mg,Limit excessive intake
,Type 2 diabetes,Fiber,≥ 3g,≥ 4g,≥ 5g,≥ 5g,"No, higher intake is better"
,Type 2 diabetes,Protein,≥ 3g,≥ 5g,≥ 7g,≥ 8g,"No, healthy protein recommended"
,Type 2 diabetes,Glycemic Index,Prefer <50,Prefer <50,Prefer <55,Prefer <55,Avoid high GI foods (>70)
,Type 2 diabetes,"Artificial Sweeteners (Aspartame, Saccharin, Sucralose, Acesulfame K)",Avoid,Avoid,Limit,Limit,"Yes, linked to insulin resistance"
,Type 2 diabetes,High-Fructose Corn Syrup (HFCS),Avoid,Avoid,Avoid,Avoid,"Yes, can spike blood sugar"
,Type 2 diabetes,"Artificial Preservatives (BHA, BHT, Sodium Benzoate)",Avoid,Avoid,Limit,Limit,May trigger inflammation
,Type 2 diabetes,"Artificial Colors (Red 40, Yellow 5, Blue 1, etc.)",Avoid,Avoid,Limit,Limit,May impact metabolism
,Type 2 diabetes,"Processed/Refined Carbs (White Flour, White Rice, etc.)",Avoid,Avoid,Limit,Limit,"Yes, causes blood sugar spikes"
,,,,,,,
3,hypertension(high bp),Sodium (Salt),≤ 150mg,≤ 200mg,≤ 300mg,≤ 400mg,Yes (Excess sodium raises BP)
,hypertension(high bp),Potassium,≥ 200mg,≥ 300mg,≥ 400mg,≥ 500mg,"No, higher intake is beneficial"
,hypertension(high bp),Cholesterol,≤ 20mg,≤ 40mg,≤ 60mg,≤ 100mg,Limit excessive intake
,hypertension(high bp),Saturated Fat,≤ 2g,≤ 3g,≤ 4g,≤ 5g,Limit processed fats
,hypertension(high bp),Trans Fat,0g (Avoid),0g (Avoid),0g (Avoid),0g (Avoid),Yes (Fully avoid)
,hypertension(high bp),Sugar,≤ 3g,≤ 5g,≤ 8g,≤ 10g,Limit added sugar
,hypertension(high bp),Refined Carbohydrates,Avoid,Avoid,Limit,Limit,Yes (Leads to weight gain and BP spikes)
,hypertension(high bp),Fiber,≥ 3g,≥ 4g,≥ 5g,≥ 5g,"No, higher intake is beneficial"
,hypertension(high bp),Protein,≥ 3g,≥ 5g,≥ 7g,≥ 8g,"No, but prefer plant-based proteins"
,hypertension(high bp),Caffeine,Limit,Limit,Limit,≤ 200mg,Yes (Excess can raise BP)
,hypertension(high bp),"Artificial Preservatives (BHA, BHT, Sodium Benzoate)",Avoid,Avoid,Limit,Limit,Yes (May trigger inflammation)
,hypertension(high bp),"Artificial Colors (Red 40, Yellow 5, Blue 1, etc.)",Avoid,Avoid,Limit,Limit,Yes (May impact metabolism)
,hypertension(high bp),"Processed/Refined Carbs (White Flour, White Rice, etc.)",Avoid,Avoid,Limit,Limit,Yes (Causes blood sugar and BP spikes)
,,,,,,,
4,low bp,Sodium (Salt),≥ 200mg,≥ 300mg,≥ 400mg,≥ 500mg,"No, moderate intake is beneficial"
,low bp,Potassium,≤ 200mg,≤ 300mg,≤ 400mg,≤ 500mg,"Yes, excess may lower BP further"
,low bp,Cholesterol,≤ 30mg,≤ 50mg,≤ 70mg,≤ 100mg,Limit excessive intake
,low bp,Saturated Fat,≤ 2g,≤ 3g,≤ 4g,≤ 5g,Limit processed fats
,low bp,Trans Fat,0g (Av,0g (Avoid),0g (Avoid),0g (Avoid),Yes (Fully avoid)
,low bp,Sugar,≤ 5g,≤ 8g,≤ 10g,≤ 10-15g,Limit excess sugar
,low bp,Refined Carbohydrates,Limit,Limit,Limit,Limit,Yes (May cause sudden blood sugar drops)
,low bp,Fiber,≤ 3g,≤ 4g,≤ 5g,≤ 5g,"Yes, excess fiber may slow digestion and lower BP"
