customer_id,transaction_date,transaction_amount,transaction_type,transaction_description
1,42:46.4,6775,deposit,Salary Deposit
3,16:42.0,2589,withdrawal,ATM Withdrawal
3,06:09.3,1902,withdrawal,Bill Payment
4,04:05.9,7292,withdrawal,Online Transfer
4,37:53.8,6175,payment,Restaurant Bill
4,55:36.1,1377,payment,Restaurant Bill
4,12:01.6,7012,deposit,Salary Deposit
5,03:25.6,465,deposit,Check Deposit
5,40:11.2,2200,payment,Online Purchase
5,58:48.2,7548,withdrawal,Online Transfer
6,58:28.3,6519,deposit,Cash Deposit
6,00:18.3,493,withdrawal,ATM Withdrawal
7,30:20.6,2616,withdrawal,Bill Payment
7,56:41.1,1350,payment,Restaurant Bill
7,42:47.3,1863,withdrawal,Bill Payment
7,09:15.9,3597,deposit,Cash Deposit
7,25:33.4,2254,deposit,Check Deposit
7,28:31.8,1164,withdrawal,ATM Withdrawal
8,35:08.5,9502,deposit,Salary Deposit
9,35:52.7,8793,withdrawal,ATM Withdrawal
9,46:02.3,576,deposit,Check Deposit
9,36:51.1,6937,payment,Restaurant Bill
9,06:03.6,6771,withdrawal,ATM Withdrawal
10,54:50.8,2663,deposit,Salary Deposit
10,37:47.2,6468,withdrawal,Bill Payment
10,38:58.8,650,payment,Online Purchase
10,34:18.2,3804,withdrawal,ATM Withdrawal
10,55:37.5,1719,withdrawal,ATM Withdrawal
10,20:27.2,3640,deposit,Check Deposit
10,51:42.2,3007,deposit,Salary Deposit
10,23:59.9,8762,payment,Restaurant Bill
10,54:00.6,6361,withdrawal,Online Transfer
11,30:00.9,4110,deposit,Check Deposit
11,57:58.5,8971,payment,Online Purchase
11,17:16.1,4072,withdrawal,Bill Payment
11,59:34.5,4175,withdrawal,Online Transfer
12,13:49.8,1027,withdrawal,ATM Withdrawal
12,14:13.6,3296,withdrawal,Online Transfer
12,38:08.4,4761,deposit,Salary Deposit
12,28:50.4,4287,withdrawal,Bill Payment
12,36:19.2,7779,deposit,Check Deposit
12,10:34.6,619,payment,Online Purchase
12,26:27.1,8806,deposit,Check Deposit
13,41:46.5,7400,deposit,Salary Deposit
13,51:25.1,280,payment,Online Purchase
13,51:23.4,1200,withdrawal,Bill Payment
13,46:10.0,8397,deposit,Salary Deposit
14,26:51.4,1568,payment,Grocery Shopping
16,35:01.6,249,deposit,Salary Deposit
16,53:43.4,2389,deposit,Cash Deposit
